image_name,Code,Median_price_of_established_house_transfers__2023_log,Median_total_income_excl_Government_pensions_and_allowances__2020_log,Population_density_persons_km2__2023_log,Total_number_of_businesses_2023_mean_log,Total_protected_land_area_ha__2022_mean_log,2020_Number of jobs_mean_log,2021_Total persons employed aged 15 years and over (no.)_mean_log,2021_Area of agricultural land (ha)_mean_log,2016_Rural residential and farm infrastructure (ha)_mean_log
satellite_image_-34.95027312398837_138.7199615986171.png,401021010,13.97635393450688,10.94174809881949,3.977810745966149,1.1362713917798566,2.4466284747622105,2.7742321079835115,2.4244533400511994,1.772943197428579,1.919724411029558
satellite_image_-34.87746712973876_138.75429371610147.png,401021010,13.97635393450688,10.94174809881949,3.977810745966149,1.1362713917798566,2.4466284747622105,2.7742321079835115,2.4244533400511994,1.772943197428579,1.919724411029558
satellite_image_-35.23029617879457_138.74056086910772.png,401021008,13.437175577097312,10.821037491276446,2.9444389791664403,1.171511285814142,0.3904272307436238,2.859724469604548,2.458440076599837,3.8440317643381055,2.232418825458012
satellite_image_-34.771058368912406_138.65816378714524.png,402041047,13.148033073468746,10.824825525631796,7.1493672345793895,3.3469758274955166,2.1302138670532598,5.855867530486896,5.421886101854532,,
satellite_image_-35.09028465139147_138.74056086910772.png,401021005,13.779884416590017,10.82617776399085,3.7819143200811256,1.1502588775302764,0.0449125566808227,2.6137524650230435,2.209710108238107,2.116298087015675,1.60447863907475
satellite_image_-34.636647302605425_138.66503021064213.png,402021032,13.081543466215235,10.865172211700168,6.100767281998432,2.0520425674917218,,4.588088178770909,4.289471664799401,2.9444389791664403,2.098404742387592
satellite_image_-35.1910929511217_138.80922510407646.png,401021008,13.437175577097312,10.821037491276446,2.9444389791664403,1.171511285814142,0.3904272307436238,2.859724469604548,2.458440076599837,3.8440317643381055,2.232418825458012
satellite_image_-34.62544638041318_138.66503021064213.png,402021032,13.081543466215235,10.865172211700168,6.100767281998432,2.0520425674917218,,4.588088178770909,4.289471664799401,2.9444389791664403,2.098404742387592
satellite_image_-35.224695717698445_138.73369444561084.png,401021008,13.437175577097312,10.821037491276446,2.9444389791664403,1.171511285814142,0.3904272307436238,2.859724469604548,2.458440076599837,3.8440317643381055,2.232418825458012
satellite_image_-35.20229387331395_138.56203385818904.png,403041083,13.505925012985523,10.826257250507991,4.22683374526818,1.4767383512730423,1.3141759444595502,2.938630968306046,2.542544392576611,3.077863910665142,1.1325497979856929
